series,episode,baker,signature,technical,showstopper,result
8,3,Steven,Madras Cocktail Teacakes,3,'The Bag I Knead' Bread Sculpture,Safe
8,3,Tom,Orange and Cranberry Teacakes,4,'Pink & Yellow Rose Centrepiece' Bread Sculpture,Safe
8,3,Yan,'Mrs P's' Masala Chai Spiced Teacakes,8,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture,Safe
8,4,James,'Windy City' Millionaire Shortbreads,2,Nutty Caramel Cake,Safe
8,4,Julia,Pecan Salted Caramel Millionaire Shortbreads,9,Poppy Seed Caramel Cake,Safe
8,4,Kate,Salted Bay Caramel Millionaire Shortbreads,6,Sticky Toffee Apple Caramel Cake,Star Baker
8,4,Liam,Salted Peanut Butter Millionaire Shortbreads,3,White Layered Ginger Caramel Cake,Safe
8,4,Sophie,Jaffa Millionaire Shortbreads,4,Bird's Nest Caramel Cake,Safe
8,4,Stacey,Rum Salted Caramel Millionaire Shortbreads,1,Chocolate and Coffee Caramel Cake,Safe
8,4,Steven,Orange Macadamia Nut Millionaire Shortbreads,7,Caramel Crown Cake,Safe
8,4,Tom,Stem Ginger Caramel Shortbreads,5,Hummingbird Cake,Eliminated
8,4,Yan,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,8,Animals of the Rainforest Caramel Cake,Safe
8,5,James,Orange and Ginger Steamed School Pudding,7,'The Missed Silver Jubilee' Trifle Terrine,Eliminated
8,5,Julia,Orange & Treacle Steamed School Pudding,3,'Opulent Ornament' Trifle Terrine,Safe
8,5,Kate,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,8,'My Great Great Nan's' Raspberry Trifle Terrine,Safe
8,5,Liam,Cherries & Lemons that are 'Baked Well',2,'Cheers Lads' Trifle Terrine,Safe
8,5,Sophie,"Ginger, Fig and Honey Steamed School Pudding",1,"Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",Star Baker
8,5,Stacey,Bakewell Tart Steamed School Pudding,4,Tropical Trifle Terrine,Safe
8,5,Steven,Lemon & Blackcurrant Drizzle Steamed School Pudding,5,'From Across the Jelly Pond' Trifle Terrine,Safe
8,5,Yan,Mango Fruit Hat Steamed School Pudding,6,'Heart of a Hero' Trifle Terrine,Safe
8,6,Julia,'Pies from the Tree' Decorative Pies,7,'Special Occasion' Pie,Eliminated
8,6,Kate,'Vegetarian Pie Faces' Decorative Pies,5,Potato Curry Pie with Mango & Chilli Glaze,Safe
8,6,Liam,'Standard FC' Decorative Pies,4,'Nan's Sunday Dinner' Pie,Star Baker
8,6,Sophie,'The Four Seasons' Decorative Pies,2,Game Pie with Glazed Forest Fruits,Safe
8,6,Stacey,'Love Theme' Decorative Pies,6,Indian Hand Raised Pie with Mango,Safe
8,6,Steven,'Fleetwood Mac' Decorative Pies,3,Christmas Pie,Safe
8,6,Yan,'πr2' Decorative Pies,1,Chequerboard Pie,Safe
8,7,Kate,'Happy Hour' Cocktail Cannoli,6,'Flavour Fusion' Sfogliatelle,Safe
8,7,Liam,'Just Doing Me' Cannoli,2,'Morning Delivery' Sfogliatelle,Safe
8,7,Sophie,'Classics with a Twist' Cannoli,3,'Classics' Sfogliatelle,Safe
8,7,Stacey,My All Time Favourite Desserts,4,Pastry Surprise,Safe
8,7,Steven,Italian Style Cannoli,1,'Sicilian-style' Sfogliatelle,Star Baker
8,7,Yan,Cannoli Cocktails,5,Canadian Style Sfogliatelle,Eliminated
8,8,Kate,Burrito  Bedfordshire Clangers,2,'Liver Building Turret' Savoy Cake,Safe
8,8,Liam,'Take Out' Bedfordshire Clangers,5,'Fort Wizardore' Savoy Cake,Eliminated
8,8,Sophie,Char Siu & Banana Praline Bedfordshire Clangers,4,Citrus with Green Apple Croquembouche Savoy Cake,Safe
8,8,Stacey,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,3,'Bright' Lemon & Orange Savoy Cake,Star Baker
8,8,Steven,'Mediterranean Medley' Bedfordshire Clangers,1,Chestnut Rum Savoy Cake,Safe
8,9,Kate,Bellini and Valencian Orange Choux Buns,4,'Rainbow' Meringue Centrepiece,Safe
8,9,Sophie,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,1,'Tutu with Opera Filling' Meringue Centrepiece,Star Baker
8,9,Stacey,'Choux-nicorn and Choux-moji' Choux Buns,2,'Flamingos in Love' Meringue Centrepiece,Eliminated
8,9,Steven,Key Lime Cheesecake and Bakewell Tart Choux Buns,3,'Some Air Over the Rainbow' Meringue Centrepiece,Safe
8,10,Kate,"Roman Spelt, Coconut Kala Chana & Flower Breads",3,"White Chocolate, Yuzu and Lychee Entremet",Runner-up
8,10,Sophie,"Spelt Boules, Mushroom Ciabatta & Orange Plaited Brioche",2,'Ode to the Honey Bee' Entremet,Winner
8,10,Steven,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",1,'Yin Yang' Entremet,Runner-up
9,1,Antony,Turmeric and Caraway Goosnargh Cakes,12,"""Kilimanjaro Selfie""",Safe
9,1,Briony,Apple Cider Empire Biscuits,2,"""Bristol Biscuit Selfie""",Safe
9,1,Dan,Lemon and Strawberry Shrewsburys,4,"""New Dad in Palm Springs""",Safe
9,1,Imelda,Cherry and White Chocolate Oatmeal Biscuits,11,"""Seaside Selfie""",Eliminated
9,1,Jon,Aberffraw 'Creams',5,"""A Sailing Selfie by the Sea""",Safe
9,1,Karen,Yorkshire Perkins,6,"Rosewater and Cardamom ""Holiday Selfie""",Safe
9,1,Kim-Joy,Orange Blossom York Biscuits,10,"""Me at Miyajima Shrine""",Safe
9,1,Luke,Yorkshire Gingernuts,8,"""What Happens In Vegas...!""",Safe
9,1,Manon,Hazelnut Cornish Shortbread,3,Matcha and White Chocolate Ganache Japanese Selfie,Star Baker
9,1,Rahul,Fennel and Coconut Pitcaithly Bannock,7,"""First Spring in the UK""",Safe
9,1,Ruby,Masala Chai Devon Flats,1,"""Gingerbread Marathon Selfie""",Safe
9,1,Terry,Lake District Ginger Shortbread,9,"""Brandy Snap Selfie""",Safe
9,2,Antony,Cardamom and Coconut Burfi Traybake,9,"Pistachio, Saffron and Rose Cake",Safe
9,2,Briony,Turron and Orange Traybake,5,Chocolate Fudge and Salted Caramel Creation,Safe
9,2,Dan,Black Forest Slice,3,Dark Chocolate and Raspberry Birthday Cake,Safe
9,2,Jon,Lemon Meringue Traybake,1,Hawaiian Shirt Pina Colada Cake,Safe
9,2,Karen,Almond and Marzipan Traybake with Rhubarb Jam,11,Strawberry Fayre Chocolate Cake,Safe
9,2,Kim-Joy,Pandan Chiffon Cake with Palm Sugar Cream,4,Yuzu and Raspberry Genoise Cat Cake,Safe
9,2,Luke,Lemon and Poppy Seed Traybake,7,Raspberry and White Chocolate Collar Cake,Eliminated
9,2,Manon,Rosemary and Honey Traybake,6,Almond Princess Cake,Safe
9,2,Rahul,Lemon and Cardamom Traybake,2,Chocolate Orange Layer Cake[a],Star Baker
9,2,Ruby,Boozy Black Forest Traybake,10,"Chocolate Orange ""Jackson Pollock"" Collar Cake",Safe
9,2,Terry,Rum and Raisin Traybake,8,Champagne and Strawberries Eiffel Tower Collar Cake,Safe
9,3,Antony,Decadent Breakfast Chelsea Buns,8,Chocolate and Orange Adventure Korovai,Eliminated
9,3,Briony,Balsamic Strawberry Chelsea Buns,9,Happily Ever After Korovai,Safe
9,3,Dan,Sticky Spiced Orange Chelsea Buns,6,Wedding Korovai,Safe
9,3,Jon,Cardiff City vs Chelsea Buns,2,Korovai Dydd Dewi Sant,Safe
9,3,Karen,Peak District Christmas Chelsea Buns,5,French Breakfast Wedding Korovai,Safe
9,3,Kim-Joy,Pistachio and Cardamom Tangzhong Chelsea Buns,10,"Orange, Cinnamon and Cranberry 'Kit-ovai'",Safe
9,3,Manon,"Apricot, Cranberry and Marzipan Chai Chelsea Buns",3,Fabergé Inspired Traditional Korovai,Safe
9,3,Rahul,Mango and Cranberry Chelsea Buns,4,Garden Wedding Korovai,Star Baker
9,3,Ruby,"Gujarela Chelsea Buns with Dates, Almonds and Raisins",7,Mama and Papa's Belated Wedding Korovai,Safe
9,3,Terry,Tangy Citrus Sticky Chelsea Buns,1,Garden Korovai,Safe
9,4,Briony,Treacle Tart Roulade,5,Blood Orange & Amaretto Sticky Toffee Sphere,Safe
9,4,Dan,Florida Roulade,1,Dan and the Giant Peach,Star Baker
9,4,Jon,Mango and Passion Fruit Roulade,3,Lucy and Hannah's Ballet Cake,Safe
9,4,Karen,Coffee Cream and Praline Roulade,7,Chateau Du Chambord Framboise,Safe
9,4,Kim-Joy,'Sweet Dreams' Roulade,6,Melting Chocolate Galaxy,Safe
9,4,Manon,Amarene and Kirsch Cherry Roulade,8,White Chocolate Renaissance Surprise,Safe
9,4,Rahul,Rhubarb and Custard Roulade,4,Opera Cake with Kalash Inspired Dome,Safe
9,4,Ruby,Pina Colada Roulade,2,Chocolate Egg,Safe
9,4,Terry,NA,NA,NA,Safe
9,5,Briony,Honey and Apricot Ginger Cake,6,Turmeric Latte Chandelier,Safe
9,5,Dan,Ginger and Lemon Drip Cake,2,Birthday Kaleidoscope for Constance,Safe
9,5,Jon,Family Christmas Ginger Cake,7,Birthday Chandelier for Emily's 21st,Safe
9,5,Karen,Bonfire Night Ginger Cake,9,Pontefract Girls' School Reunion,Eliminated
9,5,Kim-Joy,Stem Ginger Cake with Poached Pears,4,Christmas Spiced Ice Chandelier,Star Baker
9,5,Manon,Italian Meringue Ginger Cake,5,Art Deco Spiced Biscuit Chandelier,Safe
9,5,Rahul,Bonfire Night Caramel Ginger Cake,3,Durga Puja Cardamom Chandelier,Safe
9,5,Ruby,Jamaican Me Crazy Ginger Cake,1,Peacock Chandelier,Safe
9,5,Terry,Caramelised Pear and Stem Ginger Cake,8,12 Days of Christmas Chandelier,Eliminated
9,6,Briony,Home Comforts,1,"""Down the Rabbit Hole"" Banquet Pie",Star Baker
9,6,Dan,Festive Samosas,6,Salmon Coulibiac,Eliminated
9,6,Jon,"A Romantic Dinner For Two, Samosa Style",2,Welsh Dragon Pie,Safe
9,6,Kim-Joy,Flavours of India,5,Silke the Vegetarian Mermaid,Safe
9,6,Manon,Samosas for Mum,4,"""What Has Poppy Eaten?""",Safe
9,6,Rahul,Paneer Singara and Misti Singara,3,Butterfly Pie,Safe
9,6,Ruby,Traditional Samosas,7,Kohinoor Crown,Safe
9,7,Briony,French Onion TartletsCeleriac & Apple Tartlets,5,Hazelnut Mocha Cake,Safe
9,7,Jon,Garlic Mushroom TartletsFalafel & Hummus Tartlets,4,Only Fools Eat Horses Cake,Eliminated
9,7,Kim-Joy,Broccoli & Tomato QuichesMascarpone Squirrel Tartlets,6,Lavender & Lemon Fox Cake,Star Baker
9,7,Manon,Summer & Winter Tartlets,2,Spiced Apple Cake,Safe
9,7,Rahul,Coriander Posto & Veg TartletsGhugni Chaat Tartlets,1,Chocolate & Coconut Layer Cake with Raspberry Jam,Safe
9,7,Ruby,Sage & Butternut Tartlets'Cheesy Greens' Tartlets,3,"Chocolate, Lemon & Coconut Cake",Safe
9,8,Briony,Spanish & West Country Smørrebrød,1,Nana Pat Kagekone,Safe
9,8,Kim-Joy,Bumblebee Eggs & Fish Smørrebrød,2,Off to the Opera Kagekone,Safe
9,8,Manon,Cheese and Fruit Smørrebrød,4,Birthday Girl Kagekone,Eliminated
9,8,Rahul,Smoked Salmon & Roasted Vegetable Smørrebrød,5,Indian King Kagemand,Safe
9,8,Ruby,Post-Gym Smørrebrød,3,Sister Kagekone,Star Baker
9,9,Briony,Mojito MadeleinesEspresso Martini Madeleines,3,British Tea to French Pâtisserie Window,Eliminated
9,9,Kim-Joy,Ginger and Lemon MadeleinesOrange Bunny Madeleines,2,Flavourite Flavours Window Display,Safe
9,9,Rahul,Lemon and Raspberry MadeleinesOrange Curd Madeleines,4,Classic Tribute to Pâtisserie Window,Safe
9,9,Ruby,Pick Your Own Madeleines,1,Parisian Un Bouquet de Fleurs Window Display,Star Baker
9,10,Kim-Joy,Amaretto Diplomat Filled DoughnutsLemon Ring Doughnuts,1,Lost City of Atlantis Dessert Landscape,Runner-up
9,10,Rahul,Mango Créme Pâtissière Filled DoughnutsSpiced Orange Ring Doughnuts,2,Edible Rock Garden,Winner
9,10,Ruby,Dulce De Leche Filled DoughnutsRaspberry and Cardamom Ring Doughnuts,3,Magical Edible Landscape,Runner-up
10,1,Alice,Gingerbread Fruit Cake Wreath,5,Like a Child in a Sweetshop Cake,Safe
10,1,Amelia,Christmas Cake,4,Carousel Birthday Cake,Safe
10,1,Dan,Jamaican Rum Cake,9,Pirate Island Cake,Eliminated
10,1,David,Squishy Squashy Fruit Cake,10,Snakey Birthday Cakey,Safe
10,1,Helena,Fruit Bat Cake,12,Away with the Fairies Cake,Safe
10,1,Henry,Wood Street Cake,1,Secret Woodland Cake,Safe
10,1,Jamie,Easter Simnel Cake,13,Salted Caramel Schnauzer Birthday Cake,Safe
10,1,Michael,Cup of Chai Cake,11,Treasure Chest Cake,Safe
10,1,Michelle,Bara Brith Teulu Ni (Our Family's Bara Brith),6,Tŷ Tylwyth Teg (Fairy House Cake),Star Baker
10,1,Phil,Spiced Fruit Cake with Rum Glaze,8,Retro Rocket Cake,Safe
10,1,Priya,Sunshine Fruit Cake,7,Once Upon a Time Cake,Safe
10,1,Rosie,Spicy Chai Loaf,2,Magical Jungle Cake,Safe
10,1,Steph,Great Grandma's Fruit Cake,3,A Sundae on the Beach Cake,Safe
10,2,Alice,Honeycomb Peanut Mallow Bars,1,Chocolate and Coconut New Zealand Lamb,Star Baker
10,2,Amelia,"Pistachio, Almond & Raisin Nougat Biscuit Bars",9,Swimming with Dolphins,Safe
10,2,David,Coco-nutty Chocolate Bars,2,Wedding Spray,Safe
10,2,Helena,Wicked Witch Fingers,12,Caught in a Spider's Web,Safe
10,2,Henry,"Coffee, Cardamom & Hazelnut Bars",6,Chapel Organ,Safe
10,2,Jamie,Cherry Caramel Shortbread Biscuit Bars,11,Biscuit Guitar,Eliminated
10,2,Michael,Lemon & Rosemary Biscuit Bars,4,Hamish the Highland Cow,Safe
10,2,Michelle,Bakewell Bars,8,Dewi y Ddraig Cymraeg – Dewi the Welsh Dragon,Safe
10,2,Phil,"Orange, Cranberry & White Chocolate Fudge Bars",3,Tina the Tortoise,Safe
10,2,Priya,Ruby Barfi Biscuit Bars,7,The Beast of Rocky Mountain,Safe
10,2,Rosie,Virgin Mojito Biscuit Bars,5,My Favourite Chicken – A Celebration of Legs,Safe
10,2,Steph,"Chocolate, Caramel Macchiato Biscuit Bars",10,Ginger the Cat,Safe
10,3,Alice,Baklava Tear & Share,7,Global Bread,Safe
10,3,Amelia,Chorizo Brunch Tear & Share,11,Caterpillar Transformation,Eliminated
10,3,David,Cinnamon Swirl Tear & Share,2,Trio of African Masks,Safe
10,3,Helena,Frosted Cinnamon and Pecan Tear & Share,8,Every Bread is Halloween,Safe
10,3,Henry,Chicken and Pesto Tear & Share,1,Herb Garden,Safe
10,3,Michael,Keralan Star Bread Tear & Share,6,Mediterranean Camp Fire,Star Baker
10,3,Michelle,Noson Caws (Cheese Night),5,Gardd Ni (Our Garden),Safe
10,3,Phil,Pancetta and Cheese Focaccia Tear & Share,10,Winner's Wreath,Safe
10,3,Priya,Smokey Jalapeño Tear & Share,4,Bird Boules,Safe
10,3,Rosie,Chilli and Manchego Tear & Share,9,Bread Safari,Safe
10,3,Steph,Sun-Dried Tomato and Pesto Star Tear & Share,3,Hand-Tied Bouquet of Flowers,Safe
10,4,Alice,Leafy Yoghurt Cake,8,Afternoon Tea,Safe
10,4,David,A Kick of Limoncello Cake,2,Flavours of India Mishti,Safe
10,4,Helena,Ghost Cake,9,Ye Olde English Sweet Shoppe Mishti,Safe
10,4,Henry,Ode to a German Breakfast Cake,3,Seaside Mishti,Safe
10,4,Michael,Cheesecake Surprise,7,Flag of India Mishti,Safe
10,4,Michelle,Homely Rhubarb Cake,5,Home Comforts Mishti,Safe
10,4,Phil,Trucking Lovely Rose Cake,6,A Corner of My Garden Mishti,Eliminated
10,4,Priya,Choc-chip Banana Cake,10,Flavours of My Childhood Mishti,Safe
10,4,Rosie,A Good Dose of Limoncello Cake,4,Cocktails & Canapés Mishti,Safe
10,4,Steph,Answer to Everything Cake,1,Pink and Pretty Mishti,Star Baker
10,5,Alice,Chocolate & Orange Custard Pies,6,Piña Colada Cake,Safe
10,5,David,Fancy Custards,9,Amaretto Sour Cake,Safe
10,5,Helena,Lemon and Lavender Pies,1,Vampire's Kiss Raspberry Vodka Cake,Eliminated
10,5,Henry,1920's Pies,3,White Russian Cake,Safe
10,5,Michael,"Mango, Lime & Ginger Pies",8,Brambling Cake,Safe
10,5,Michelle,Blueberry & White Chocolate Crème Brûlée Pies,7,My Little Sister the Dancing Queen's Piña Colada Cake,Eliminated
10,5,Priya,Lemon & Raspberry Ripple Pies,2,Meena Colada Cake,Safe
10,5,Rosie,Little Blackberry Pies,5,White Russian Cake,Safe
10,5,Steph,Zesty Citrus Custard Pies,4,Sour Lime Piña Colada Cake,Star Baker
10,6,Alice,Black Forest Meringue,1,Tiramisu Bombe,Safe
10,6,David,Spiced Meringue Surprise,2,Delightful Bombe,Safe
10,6,Henry,Towering Meringue Cake,4,Bonfire Bombe,Safe
10,6,Michael,Dark Chocolate Meringue Cake,6,Black Forest Bombe,Safe
10,6,Priya,Family Favourite,7,Summer Fruit Bombe,Eliminated
10,6,Rosie,Layers of Lime and Raspberry,5,Ruby Bombe,Safe
10,6,Steph,Eton Mess,3,Mirror Bombe,Star Baker
10,7,Alice,"Lemon, Blueberry & Almond Hot Cross Buns",6,"Chocolate, Orange and Salted Caramel Kaleidoscope Sarawak Style Layered Cake",Safe
10,7,David,Kozunak Plaits,2,Sarawak Style Layer Cake Sculpture,Safe
10,7,Henry,Chocolate Kardemummabullar,3,Elegant Present Box,Star Baker
10,7,Michael,Figgy Pudding Hot Cross Buns,5,Jamaican Mule Sarawak Style Layer Cake,Eliminated
10,7,Rosie,Mardi Gras Finnish Semlor Peacock Festival Buns,1,Rainbow Sarawak Style Layer Cake,Safe
10,7,Steph,Zest and Spice Hot Cross Buns,4,Orange and Chai Spiced Revitalise Cake,Safe
10,8,Alice,"Leek, Apple & Goat's Cheese Tarte Tatin",3,Apple Tree House Pie,Safe
10,8,David,Caramelly Carroty Tarte Tatin,1,Whitby Fish Pie,Safe
10,8,Henry,"Crab, Tomato & New Potato Tarte Tatin",5,Chandelier Picnic Pie,Eliminated
10,8,Rosie,"Shallot, Aubergine & Goat's Cheese Spiced Tarte Tatin",2,Rapunzel's Tower,Safe
10,8,Steph,Caramelised Onion & Goat's Cheese Tarte Tatin,4,Curried Chickpea & Potato Carousel Pie,Star Baker
10,9,Alice,"Mocha, Hazelnut & Orange Domed Tarts",4,Save Our Oceans,Star Baker
10,9,David,Aperitif Domed Tarts,2,Greenhouse Growing Moss,Safe
10,9,Rosie,"Lemon, Raspberry & Mint Domed Tarts",1,Time with Family,Eliminated
10,9,Steph,"Raspberry, Lemon & White Chocolate Domed Tarts",3,A Night at the Opera,Safe
10,10,Alice,"Chocolate, Pear, Ginger and Maple Cake",2,End of the School Year Celebration Picnic,Runner-up
10,10,David,"Chocolate, Armagnac and Prune Cake",1,Peachy Pic-Nik,Winner
10,10,Steph,Black Forest Chocolate Cake,3,Picnic in the Park,Runner-up
11,1,Dave,Chocolate Espresso Martini Battenberg,9,'Three Flavours of Tom DeLonge',Safe
11,1,Hermine,Chocolate & Orange Battenberg,5,'Ode to Lupita',Safe
11,1,Laura,'Celebration of Summer' Battenberg,6,Lemon & Elderflower Freddie,Safe
11,1,Linda,Ambulance Battenberg,12,Lemon & Orange Bob Marley,Safe
11,1,Loriea,'Hot Summer's Day Treats' Battenberg,10,'Flavours of Jamaica' A Tribute to Miss Lou,Eliminated
11,1,Lottie,Rhubarb and Custard Battenberg,4,Coconut & Lime Louis Theroux,Safe
11,1,Mak,East India Battenberg,8,Tribute to Bill Bryson,Safe
11,1,Marc,Bittersweet Battenberg,11,Chocolate & Vanilla Ziggy,Safe
11,1,Mark,Turkish Bazaar Inspired Battenberg,7,'Origin-ger of the Species' by Charles Darwin,Safe
11,1,Peter,Gluten-Free Chocolate & Orange Battenberg,2,'In Honour of Sir Chris',Star Baker
11,1,Rowan,'The Magic Flute' Battenberg,3,'Let Them Eat Cake' A Tribute To Marie Antoinette,Safe
11,1,Sura,Lemon and Orange Battenberg,1,'Ode to Attenborough',Safe
11,2,Dave,Feathered Chocolate Mango Florentines,1,'Waiting for Tacos',Star Baker
11,2,Hermine,Mango and Coconut Florentines,5,Sakura Tea Set,Safe
11,2,Laura,Salted Caramel Florentines,7,Celebration Afternoon Tea,Safe
11,2,Linda,Flower Topped Florentines,4,'High Tea in Amsterdam',Safe
11,2,Lottie,Quarantine Florentines,8,Viking Victuals,Safe
11,2,Mak,Mango and Cumin Florentines,3,Indian Chai Service,Eliminated
11,2,Marc,"Ginger, Cherry and Pistachio Florentines",9,Morning Coffee 'n' Toast,Safe
11,2,Mark,Mango Lassi Florentines,2,Ethiopian Coffee Ceremony,Safe
11,2,Peter,Sticky Toffee Florentines,10,Biscuit Burns Supper,Safe
11,2,Rowan,Waistcoat Florentines,11,'Worse Things Happen At Sea',Safe
11,2,Sura,Sohan Florentines,6,Speculaas Ramadan Tea Time,Safe
11,3,Dave,Chilli Chocolate & Cheesy Bacon Soda Breads,9,'Grateful For My Home and Little Family',Safe
11,3,Hermine,My Favourite Flavours Soda Bread,7,A Journey Back to France,Safe
11,3,Laura,Nana Peg's Nicely Spiced & Cherrylicious Soda Breads,6,Showstopping Musical Theatre Inspired Showstopper,Safe
11,3,Linda,Bara Cyflym Quick Bread,1,'Fruits of our Labour' Black Olive Bread & Tiger Bread,Safe
11,3,Lottie,Blueberry Breakfast & Summertime Soda Breads,5,My House In Bread,Safe
11,3,Marc,Cornish Soda Breads,2,The Dharma Wheel Bread Sheaf,Star Baker
11,3,Mark,Sausage & Stout Sodas,3,Orchard County Bread with Sweet Apple and Savoury Wild Garlic,Safe
11,3,Peter,Black Pudding & Ginger Beer Soda Breads,4,Edinburgh Cityscape Bread Plaque,Safe
11,3,Rowan,Flavours of Italy,10,Worcestershire Pear Tree,Eliminated
11,3,Sura,Middle Eastern Inspired Soda Breads,8,Mama's Tomato Vine Harvest Loaf,Safe
11,4,Dave,Honeycomb Explosion Brownies,8,Strawberry Splash White Chocolate Fraisier Cake,Safe
11,4,Hermine,"Raspberry, White Chocolate & Pistachio Brownies",5,Lemon & White Chocolate Cake,Safe
11,4,Laura,Salted Caramel Brownie S'mores,2,Chocolate Heaven Cake,Safe
11,4,Linda,'Treats of Christmas Past',1,English Rose Cake,Safe
11,4,Lottie,'Have Your Cake and Eat It' Brownies,9,Nana and Papa's Sapphire Anniversary Cake,Safe
11,4,Marc,Praline Brownies,6,White Chocolate & Raspberry Buttercream Celebration Cake,Safe
11,4,Mark,'Gimmie S'more' Brownies,3,'A Baking Show Birthday',Star Baker
11,4,Peter,Upside Down Brownies,4,Graduation Cake,Safe
11,4,Sura,Double Chocolate Marshmallow Brownies,7,Strawberry & White Chocolate Celebration Cake,Eliminated
11,5,Dave,Thai Basil Chicken Pasties,5,"Chocolate, Mango and Lime Tart",Safe
11,5,Hermine,Moroccan Tagine Pasties,2,Lime Confit & Lemon Meringue Tart,Safe
11,5,Laura,Proper Tasty Pasties,6,Kent Garden Tart,Star Baker
11,5,Linda,Spicy Indian Pasties,8,Gypsy Tart,Eliminated
11,5,Lottie,Toad-In-The-Hole-Less Pasties,4,Apple Tree Tart,Safe
11,5,Marc,Cornish Fish Pasties,7,Posh Apple & Blackberry Pie,Safe
11,5,Mark,Aloo Gobi & Paneer Pasties,3,Mes-SAGE in a Bottle,Safe
11,5,Peter,Kedgeree Pasties,1,Blackberry & Lemon Tart,Safe
11,6,Dave,Chicken Shaped Katsu Curry Buns,3,Matcha Shiba Inu Cake,Safe
11,6,Hermine,Chicken Nikuman Panda Buns,4,Strawberry Cherry Blossom Cake,Safe
11,6,Laura,Piggy Pork Belly Buns,7,Upside Down Pineapple Cake,Safe
11,6,Lottie,Cheeseburger Steamed Buns,2,'Into the Japanese Woods',Star Baker
11,6,Marc,'Hmmmm Dhal' Steamed Buns,6,Hamish the Dog Cake,Safe
11,6,Mark,Burger Buns,5,'Avo Baby',Eliminated
11,6,Peter,Lamb Steamed Buns,1,Dizzy the Shuttlecock,Safe
11,7,Dave,Novel Quiches,6,'Tiramisu',Safe
11,7,Hermine,Classic Quiches,1,Holiday Ice Cream Cake,Star Baker
11,7,Laura,Pea & Pizza Quiches,4,'Death by Chocolate',Safe
11,7,Lottie,English Breakfast & Summer Salad Quiches,5,'80's Mix Tape',Eliminated
11,7,Marc,Cornish Quiches,3,Retro Ice Cream Parlour,Safe
11,7,Peter,Thai Curry and Salmon Quiches,2,'Christmas Cake Surprise',Safe
11,8,Dave,'Celebration of Citrus' Cheesecakes,5,Newquay Beach Scene,Safe
11,8,Hermine,Passion Fruit Cheesecakes,3,Chocolate and Raspberry Mousse Jelly Cake,Star Baker
11,8,Laura,Passion Fruit Cheesecakes,1,'Flower Power' Koi Jelly Art Cake,Safe
11,8,Marc,New York Style Vanilla and Mascarpone Cheesecakes,2,Apple Jelly with Chocolate and Strawberry Mousse,Eliminated
11,8,Peter,Lime & Ginger Cheesecakes,4,Snow Globe Jelly Cake,Safe
11,9,Dave,"Honey Tequila, Mango & Passion Fruit Savarins",3,Celebration of Chocolate Cube Cake,Safe
11,9,Hermine,Crème et Abricot Baba au Rhum,2,'The Best of Hermine' Cube Cake,Eliminated
11,9,Laura,"Poached Pineapple, Kiwi & Passion Fruit Rum Babas",4,Black Forest Cube Cake,Safe
11,9,Peter,Strawberry & Elderflower Babas,1,"Chocolate, Raspberry & Pistachio Cube Cake",Star Baker
11,10,Dave,Caramel Latte Custard Slice,1,Tower to Redemption,Runner-up
11,10,Laura,Yuzu Custard Slice,3,Rainbow Dessert Tower,Runner-up
11,10,Peter,Cranachan Custard Slice,2,Bonkers Baking Show Bubble Cake,Winner[a]
12,1,Amanda,'Cherry Soldier' Mini Rolls,12,Elderflower & Lemon Surf Explosion,Safe
12,1,Chigs,Strawberries & Cream Mini Rolls,11,'Where it all Began',Safe
12,1,Crystelle,'Chai and Chai Again' Mini Rolls,8,'Bouq-cake' of Flowers,Safe
12,1,Freya,Vegan Lemon & Raspberry Mini Rolls,2,'Flower Potty',Safe
12,1,George,Chocolate & Hazelnut Mini Rolls,3,Greek Table,Safe
12,1,Giuseppe,Easter Mini Rolls,10,'Jack and The Beanstalk',Safe
12,1,Jairzeno,Lime & Passion Fruit Mini Rolls,9,'Kick the Can' Cake,Safe
12,1,Jürgen,Schwarzwald Mini Rolls,6,'Night Time Reading',Star Baker
12,1,Lizzie,Zoo Mini Rolls,4,Nana's Peaches & Cream,Safe
12,1,Maggie,'Knit & Natter' Mini Rolls,1,Ice-cream Cornet,Safe
12,1,Rochica,Colin Rolls,7,Apple Cake,Safe
12,1,Tom,Black Forest Mini Rolls,5,Classically Spectacular Showstopper,Eliminated
12,2,Amanda,'Open Sesame' Brandy Snaps,4,Carousel Rocking Horse,Safe
12,2,Chigs,'Espresso Martini' Brandy Snaps,7,Snooker Table,Safe
12,2,Crystelle,'Apple of My P-eye' Brandy Snaps,10,Vanity Playset,Safe
12,2,Freya,'Brandy Snapuccinos',3,'Winnie',Safe
12,2,George,Cypriot Brandy Snaps,8,'Paul & Prue Airlines',Safe
12,2,Giuseppe,Gianduja Snaps,2,Reversi Board Game,Safe
12,2,Jairzeno,"Chocolate, Passion Fruit & Pineapple Brandy Snaps",9,Tall Ship,Eliminated
12,2,Jürgen,'A Cup of Chai' Brandy Snaps,1,'Grandpa's Windmill',Star Baker
